dataset,classifier,param,param value,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,Bagging,n_estimators,400,2,0.75625,0.7328786039889026,0.7182686567164179,0.723637204467459
diabetes,Bagging,n_estimators,400,3,0.760546875,0.7374291290638765,0.7242522388059702,0.7294044078423613
diabetes,Bagging,n_estimators,400,4,0.759765625,0.736347366159489,0.7240850746268656,0.7289934963956926
diabetes,Bagging,n_estimators,400,5,0.7649739583333333,0.7424173142060402,0.7295567164179103,0.7347081914920579
diabetes,Bagging,n_estimators,400,6,0.7621093749999999,0.7390634538660291,0.7268373134328356,0.7317350601306044
diabetes,Bagging,n_estimators,400,7,0.7625000000000001,0.7391698842593362,0.7293880597014926,0.7334777124764693
diabetes,Bagging,n_estimators,400,8,0.75859375,0.7349665732171247,0.722665671641791,0.7275634076724962
diabetes,Bagging,n_estimators,400,9,0.760546875,0.7370155792674253,0.7258970149253731,0.7304779831748062
diabetes,Bagging,n_estimators,500,2,0.7485677083333334,0.7236937742231639,0.7103776119402985,0.7154454557427261
diabetes,Bagging,n_estimators,500,3,0.7589843749999999,0.7355290698946397,0.7221,0.7273666685431726
diabetes,Bagging,n_estimators,500,4,0.75703125,0.7329377559614932,0.723023880597015,0.7271357868080709
diabetes,Bagging,n_estimators,500,5,0.7615885416666667,0.7381035574396446,0.7286014925373133,0.7325372998331028
diabetes,Bagging,n_estimators,500,6,0.763671875,0.7407337637250315,0.7292492537313433,0.7339345224084021
diabetes,Bagging,n_estimators,500,7,0.75859375,0.7349540543329699,0.7232716417910448,0.7279908759305936
diabetes,Bagging,n_estimators,500,8,0.7647135416666667,0.7419274779603783,0.7302223880597015,0.7350022162855172
diabetes,Bagging,n_estimators,500,9,0.7638020833333333,0.7409996848724432,0.7289164179104478,0.7337814913215925
diabetes,Bagging,max_samples,0.2,2,0.7455729166666667,0.7252556217491521,0.690417910447761,0.6994844012180618
diabetes,Bagging,max_samples,0.2,3,0.7451822916666667,0.7237890329144668,0.691676119402985,0.7005450019459102
diabetes,Bagging,max_samples,0.2,4,0.7365885416666667,0.7140378670470422,0.6797089552238806,0.6881475265747893
diabetes,Bagging,max_samples,0.2,5,0.7501302083333333,0.7292146294712881,0.6991119402985074,0.7076990237968369
diabetes,Bagging,max_samples,0.2,6,0.7459635416666667,0.7255183641041338,0.691323880597015,0.7003317694451753
diabetes,Bagging,max_samples,0.2,7,0.7477864583333333,0.7266874365996088,0.6950611940298507,0.7039447304338273
diabetes,Bagging,max_samples,0.2,8,0.7493489583333333,0.7284171829538669,0.6977328358208955,0.7065403817884739
diabetes,Bagging,max_samples,0.2,9,0.7440104166666666,0.7216555648588361,0.6918149253731343,0.7002595863372026
diabetes,Bagging,max_samples,0.5,2,0.7404947916666668,0.7160654774038844,0.690586567164179,0.6981164079889395
diabetes,Bagging,max_samples,0.5,3,0.7438802083333333,0.7211996824740855,0.6918014925373135,0.7000455259499833
diabetes,Bagging,max_samples,0.5,4,0.7490885416666667,0.727012843574373,0.700216417910448,0.7083472712698912
diabetes,Bagging,max_samples,0.5,5,0.74375,0.7196297887523734,0.6960298507462686,0.7035126694435223
diabetes,Bagging,max_samples,0.5,6,0.7432291666666667,0.7190099731367463,0.6951970149253732,0.7026819567562055
diabetes,Bagging,max_samples,0.5,7,0.7427083333333333,0.7197509632371832,0.6908149253731343,0.6990068247698906
diabetes,Bagging,max_samples,0.5,8,0.7486979166666666,0.7259290381445497,0.7008686567164178,0.7087689283030255
diabetes,Bagging,max_samples,0.5,9,0.7514322916666667,0.7303578892101958,0.7012373134328358,0.7099186106171852
diabetes,Bagging,max_samples,0.9,2,0.7412760416666666,0.7176409082918485,0.6905805970149255,0.6984241211897804
diabetes,Bagging,max_samples,0.9,3,0.7436197916666667,0.7196113406491064,0.6955835820895523,0.703077466036787
diabetes,Bagging,max_samples,0.9,4,0.7473958333333334,0.7234746334196497,0.7022059701492536,0.7093366729220406
